FIPStxt,Stabr,Area_name,Attribute,Value
0,US,United States,POVALL_2019,39490096
0,US,United States,CI90LBALL_2019,39248096
0,US,United States,CI90UBALL_2019,39732096
0,US,United States,PCTPOVALL_2019,12.3
0,US,United States,CI90LBALLP_2019,12.2
0,US,United States,CI90UBALLP_2019,12.4
0,US,United States,POV017_2019,12000470
0,US,United States,CI90LB017_2019,11865995
0,US,United States,CI90UB017_2019,12134945
0,US,United States,PCTPOV017_2019,16.8
0,US,United States,CI90LB017P_2019,16.6
0,US,United States,CI90UB017P_2019,17
0,US,United States,POV517_2019,8258906
0,US,United States,CI90LB517_2019,8160650
0,US,United States,CI90UB517_2019,8357162
0,US,United States,PCTPOV517_2019,15.8
0,US,United States,CI90LB517P_2019,15.6
0,US,United States,CI90UB517P_2019,16
0,US,United States,MEDHHINC_2019,65712
0,US,United States,CI90LBINC_2019,65594
0,US,United States,CI90UBINC_2019,65830
0,US,United States,POV04_2019,3457689
0,US,United States,CI90LB04_2019,3405854
0,US,United States,CI90UB04_2019,3509524
0,US,United States,PCTPOV04_2019,18.2
0,US,United States,CI90LB04P_2019,17.9
0,US,United States,CI90UB04P_2019,18.5
1000,AL,Alabama,POVALL_2019,747478
1000,AL,Alabama,CI90LBALL_2019,730491
1000,AL,Alabama,CI90UBALL_2019,764465
1000,AL,Alabama,PCTPOVALL_2019,15.6
1000,AL,Alabama,CI90LBALLP_2019,15.2
1000,AL,Alabama,CI90UBALLP_2019,16
1000,AL,Alabama,POV017_2019,233890
1000,AL,Alabama,CI90LB017_2019,225712
1000,AL,Alabama,CI90UB017_2019,242068
1000,AL,Alabama,PCTPOV017_2019,21.9
1000,AL,Alabama,CI90LB017P_2019,21.1
1000,AL,Alabama,CI90UB017P_2019,22.7
1000,AL,Alabama,POV517_2019,161670
1000,AL,Alabama,CI90LB517_2019,154564
1000,AL,Alabama,CI90UB517_2019,168776
1000,AL,Alabama,PCTPOV517_2019,20.7
1000,AL,Alabama,CI90LB517P_2019,19.8
1000,AL,Alabama,CI90UB517P_2019,21.6
1000,AL,Alabama,MEDHHINC_2019,51771
1000,AL,Alabama,CI90LBINC_2019,51179
1000,AL,Alabama,CI90UBINC_2019,52363
1000,AL,Alabama,POV04_2019,69236
1000,AL,Alabama,CI90LB04_2019,65296
1000,AL,Alabama,CI90UB04_2019,73176
1000,AL,Alabama,PCTPOV04_2019,24.2
1000,AL,Alabama,CI90LB04P_2019,22.8
1000,AL,Alabama,CI90UB04P_2019,25.6
1001,AL,Autauga County,Rural-urban_Continuum_Code_2003,2
1001,AL,Autauga County,Urban_Influence_Code_2003,2
1001,AL,Autauga County,Rural-urban_Continuum_Code_2013,2
1001,AL,Autauga County,Urban_Influence_Code_2013,2
1001,AL,Autauga County,POVALL_2019,6723
1001,AL,Autauga County,CI90LBALL_2019,5517
1001,AL,Autauga County,CI90UBALL_2019,7929
1001,AL,Autauga County,PCTPOVALL_2019,12.1
1001,AL,Autauga County,CI90LBALLP_2019,9.9
1001,AL,Autauga County,CI90UBALLP_2019,14.3
1001,AL,Autauga County,POV017_2019,2040
1001,AL,Autauga County,CI90LB017_2019,1472
1001,AL,Autauga County,CI90UB017_2019,2608
1001,AL,Autauga County,PCTPOV017_2019,15.9
1001,AL,Autauga County,CI90LB017P_2019,11.5
1001,AL,Autauga County,CI90UB017P_2019,20.3
1001,AL,Autauga County,POV517_2019,1376
1001,AL,Autauga County,CI90LB517_2019,902
1001,AL,Autauga County,CI90UB517_2019,1850
1001,AL,Autauga County,PCTPOV517_2019,14.4
1001,AL,Autauga County,CI90LB517P_2019,9.4
1001,AL,Autauga County,CI90UB517P_2019,19.4
1001,AL,Autauga County,MEDHHINC_2019,58233
1001,AL,Autauga County,CI90LBINC_2019,52517
1001,AL,Autauga County,CI90UBINC_2019,63949
1003,AL,Baldwin County,Rural-urban_Continuum_Code_2003,4
1003,AL,Baldwin County,Urban_Influence_Code_2003,5
1003,AL,Baldwin County,Rural-urban_Continuum_Code_2013,3
1003,AL,Baldwin County,Urban_Influence_Code_2013,2
1003,AL,Baldwin County,POVALL_2019,22360
1003,AL,Baldwin County,CI90LBALL_2019,18541
1003,AL,Baldwin County,CI90UBALL_2019,26179
1003,AL,Baldwin County,PCTPOVALL_2019,10.1
1003,AL,Baldwin County,CI90LBALLP_2019,8.4
1003,AL,Baldwin County,CI90UBALLP_2019,11.8
1003,AL,Baldwin County,POV017_2019,6323
1003,AL,Baldwin County,CI90LB017_2019,4521
1003,AL,Baldwin County,CI90UB017_2019,8125
1003,AL,Baldwin County,PCTPOV017_2019,13.5
1003,AL,Baldwin County,CI90LB017P_2019,9.6
1003,AL,Baldwin County,CI90UB017P_2019,17.4
1003,AL,Baldwin County,POV517_2019,4641
1003,AL,Baldwin County,CI90LB517_2019,3295
1003,AL,Baldwin County,CI90UB517_2019,5987
1003,AL,Baldwin County,PCTPOV517_2019,13.3
1003,AL,Baldwin County,CI90LB517P_2019,9.4
1003,AL,Baldwin County,CI90UB517P_2019,17.2
1003,AL,Baldwin County,MEDHHINC_2019,59871
1003,AL,Baldwin County,CI90LBINC_2019,54593
1003,AL,Baldwin County,CI90UBINC_2019,65149
1005,AL,Barbour County,Rural-urban_Continuum_Code_2003,6
1005,AL,Barbour County,Urban_Influence_Code_2003,6
1005,AL,Barbour County,Rural-urban_Continuum_Code_2013,6
1005,AL,Barbour County,Urban_Influence_Code_2013,6
1005,AL,Barbour County,POVALL_2019,5909
1005,AL,Barbour County,CI90LBALL_2019,4787
1005,AL,Barbour County,CI90UBALL_2019,7031
1005,AL,Barbour County,PCTPOVALL_2019,27.1
1005,AL,Barbour County,CI90LBALLP_2019,22
1005,AL,Barbour County,CI90UBALLP_2019,32.2
1005,AL,Barbour County,POV017_2019,2050
1005,AL,Barbour County,CI90LB017_2019,1560
1005,AL,Barbour County,CI90UB017_2019,2540
1005,AL,Barbour County,PCTPOV017_2019,41
1005,AL,Barbour County,CI90LB017P_2019,31.2
1005,AL,Barbour County,CI90UB017P_2019,50.8
1005,AL,Barbour County,POV517_2019,1468
1005,AL,Barbour County,CI90LB517_2019,1114
1005,AL,Barbour County,CI90UB517_2019,1822
1005,AL,Barbour County,PCTPOV517_2019,39.5
1005,AL,Barbour County,CI90LB517P_2019,30
1005,AL,Barbour County,CI90UB517P_2019,49
1005,AL,Barbour County,MEDHHINC_2019,35972
1005,AL,Barbour County,CI90LBINC_2019,31822
1005,AL,Barbour County,CI90UBINC_2019,40122
1007,AL,Bibb County,Rural-urban_Continuum_Code_2003,1
1007,AL,Bibb County,Urban_Influence_Code_2003,1
1007,AL,Bibb County,Rural-urban_Continuum_Code_2013,1
1007,AL,Bibb County,Urban_Influence_Code_2013,1
1007,AL,Bibb County,POVALL_2019,4101
1007,AL,Bibb County,CI90LBALL_2019,3225
1007,AL,Bibb County,CI90UBALL_2019,4977
1007,AL,Bibb County,PCTPOVALL_2019,20.3
1007,AL,Bibb County,CI90LBALLP_2019,16
1007,AL,Bibb County,CI90UBALLP_2019,24.6
1007,AL,Bibb County,POV017_2019,1147
1007,AL,Bibb County,CI90LB017_2019,827
1007,AL,Bibb County,CI90UB017_2019,1467
1007,AL,Bibb County,PCTPOV017_2019,25.9
1007,AL,Bibb County,CI90LB017P_2019,18.7
1007,AL,Bibb County,CI90UB017P_2019,33.1
1007,AL,Bibb County,POV517_2019,808
1007,AL,Bibb County,CI90LB517_2019,566
1007,AL,Bibb County,CI90UB517_2019,1050
1007,AL,Bibb County,PCTPOV517_2019,25.2
1007,AL,Bibb County,CI90LB517P_2019,17.7
1007,AL,Bibb County,CI90UB517P_2019,32.7
1007,AL,Bibb County,MEDHHINC_2019,47918
1007,AL,Bibb County,CI90LBINC_2019,42291
1007,AL,Bibb County,CI90UBINC_2019,53545
1009,AL,Blount County,Rural-urban_Continuum_Code_2003,1
1009,AL,Blount County,Urban_Influence_Code_2003,1
1009,AL,Blount County,Rural-urban_Continuum_Code_2013,1
1009,AL,Blount County,Urban_Influence_Code_2013,1
1009,AL,Blount County,POVALL_2019,9324
1009,AL,Blount County,CI90LBALL_2019,8037
1009,AL,Blount County,CI90UBALL_2019,10611
1009,AL,Blount County,PCTPOVALL_2019,16.3
1009,AL,Blount County,CI90LBALLP_2019,14.1
1009,AL,Blount County,CI90UBALLP_2019,18.5
1009,AL,Blount County,POV017_2019,2750
1009,AL,Blount County,CI90LB017_2019,2192
1009,AL,Blount County,CI90UB017_2019,3308
1009,AL,Blount County,PCTPOV017_2019,21
1009,AL,Blount County,CI90LB017P_2019,16.7
1009,AL,Blount County,CI90UB017P_2019,25.3
1009,AL,Blount County,POV517_2019,2067
1009,AL,Blount County,CI90LB517_2019,1641
1009,AL,Blount County,CI90UB517_2019,2493
1009,AL,Blount County,PCTPOV517_2019,21.4
1009,AL,Blount County,CI90LB517P_2019,17
1009,AL,Blount County,CI90UB517P_2019,25.8
1009,AL,Blount County,MEDHHINC_2019,52902
1009,AL,Blount County,CI90LBINC_2019,46777
1009,AL,Blount County,CI90UBINC_2019,59027
1011,AL,Bullock County,Rural-urban_Continuum_Code_2003,6
1011,AL,Bullock County,Urban_Influence_Code_2003,6
1011,AL,Bullock County,Rural-urban_Continuum_Code_2013,6
1011,AL,Bullock County,Urban_Influence_Code_2013,6
1011,AL,Bullock County,POVALL_2019,2537
1011,AL,Bullock County,CI90LBALL_2019,1834
1011,AL,Bullock County,CI90UBALL_2019,3240
1011,AL,Bullock County,PCTPOVALL_2019,30
1011,AL,Bullock County,CI90LBALLP_2019,21.7
1011,AL,Bullock County,CI90UBALLP_2019,38.3
1011,AL,Bullock County,POV017_2019,825
1011,AL,Bullock County,CI90LB017_2019,546
1011,AL,Bullock County,CI90UB017_2019,1104
1011,AL,Bullock County,PCTPOV017_2019,39.9
1011,AL,Bullock County,CI90LB017P_2019,26.4
1011,AL,Bullock County,CI90UB017P_2019,53.4
1011,AL,Bullock County,POV517_2019,591
1011,AL,Bullock County,CI90LB517_2019,375
1011,AL,Bullock County,CI90UB517_2019,807
1011,AL,Bullock County,PCTPOV517_2019,39
1011,AL,Bullock County,CI90LB517P_2019,24.8
1011,AL,Bullock County,CI90UB517P_2019,53.2
1011,AL,Bullock County,MEDHHINC_2019,31906
1011,AL,Bullock County,CI90LBINC_2019,28249
1011,AL,Bullock County,CI90UBINC_2019,35563
1013,AL,Butler County,Rural-urban_Continuum_Code_2003,6
1013,AL,Butler County,Urban_Influence_Code_2003,6
1013,AL,Butler County,Rural-urban_Continuum_Code_2013,6
1013,AL,Butler County,Urban_Influence_Code_2013,6
1013,AL,Butler County,POVALL_2019,4124
1013,AL,Butler County,CI90LBALL_2019,3204
1013,AL,Butler County,CI90UBALL_2019,5044
1013,AL,Butler County,PCTPOVALL_2019,21.6
1013,AL,Butler County,CI90LBALLP_2019,16.8
1013,AL,Butler County,CI90UBALLP_2019,26.4
1013,AL,Butler County,POV017_2019,1460
1013,AL,Butler County,CI90LB017_2019,1097
1013,AL,Butler County,CI90UB017_2019,1823
1013,AL,Butler County,PCTPOV017_2019,34.6
1013,AL,Butler County,CI90LB017P_2019,26
1013,AL,Butler County,CI90UB017P_2019,43.2
1013,AL,Butler County,POV517_2019,1024
1013,AL,Butler County,CI90LB517_2019,741
1013,AL,Butler County,CI90UB517_2019,1307
1013,AL,Butler County,PCTPOV517_2019,32.8
1013,AL,Butler County,CI90LB517P_2019,23.7
1013,AL,Butler County,CI90UB517P_2019,41.9
1013,AL,Butler County,MEDHHINC_2019,39944
1013,AL,Butler County,CI90LBINC_2019,37049
1013,AL,Butler County,CI90UBINC_2019,42839
1015,AL,Calhoun County,Rural-urban_Continuum_Code_2003,3
1015,AL,Calhoun County,Urban_Influence_Code_2003,2
1015,AL,Calhoun County,Rural-urban_Continuum_Code_2013,3
1015,AL,Calhoun County,Urban_Influence_Code_2013,2
1015,AL,Calhoun County,POVALL_2019,18988
1015,AL,Calhoun County,CI90LBALL_2019,15924
1015,AL,Calhoun County,CI90UBALL_2019,22052
1015,AL,Calhoun County,PCTPOVALL_2019,17.2
1015,AL,Calhoun County,CI90LBALLP_2019,14.4
1015,AL,Calhoun County,CI90UBALLP_2019,20
1015,AL,Calhoun County,POV017_2019,5878
1015,AL,Calhoun County,CI90LB017_2019,4553
1015,AL,Calhoun County,CI90UB017_2019,7203
1015,AL,Calhoun County,PCTPOV017_2019,24.6
1015,AL,Calhoun County,CI90LB017P_2019,19.1
1015,AL,Calhoun County,CI90UB017P_2019,30.1
1015,AL,Calhoun County,POV517_2019,3994
1015,AL,Calhoun County,CI90LB517_2019,2992
1015,AL,Calhoun County,CI90UB517_2019,4996
1015,AL,Calhoun County,PCTPOV517_2019,22.8
1015,AL,Calhoun County,CI90LB517P_2019,17.1
1015,AL,Calhoun County,CI90UB517P_2019,28.5
1015,AL,Calhoun County,MEDHHINC_2019,47747
1015,AL,Calhoun County,CI90LBINC_2019,44016
1015,AL,Calhoun County,CI90UBINC_2019,51478
1017,AL,Chambers County,Rural-urban_Continuum_Code_2003,6
1017,AL,Chambers County,Urban_Influence_Code_2003,5
1017,AL,Chambers County,Rural-urban_Continuum_Code_2013,6
1017,AL,Chambers County,Urban_Influence_Code_2013,5
1017,AL,Chambers County,POVALL_2019,6415
1017,AL,Chambers County,CI90LBALL_2019,5142
1017,AL,Chambers County,CI90UBALL_2019,7688
1017,AL,Chambers County,PCTPOVALL_2019,19.6
1017,AL,Chambers County,CI90LBALLP_2019,15.7
1017,AL,Chambers County,CI90UBALLP_2019,23.5
1017,AL,Chambers County,POV017_2019,2058
1017,AL,Chambers County,CI90LB017_2019,1525
1017,AL,Chambers County,CI90UB017_2019,2591
1017,AL,Chambers County,PCTPOV017_2019,30.4
1017,AL,Chambers County,CI90LB017P_2019,22.5
1017,AL,Chambers County,CI90UB017P_2019,38.3
1017,AL,Chambers County,POV517_2019,1538
1017,AL,Chambers County,CI90LB517_2019,1159
1017,AL,Chambers County,CI90UB517_2019,1917
1017,AL,Chambers County,PCTPOV517_2019,31.1
1017,AL,Chambers County,CI90LB517P_2019,23.4
1017,AL,Chambers County,CI90UB517P_2019,38.8
1017,AL,Chambers County,MEDHHINC_2019,42015
1017,AL,Chambers County,CI90LBINC_2019,37338
1017,AL,Chambers County,CI90UBINC_2019,46692
1019,AL,Cherokee County,Rural-urban_Continuum_Code_2003,8
1019,AL,Cherokee County,Urban_Influence_Code_2003,6
1019,AL,Cherokee County,Rural-urban_Continuum_Code_2013,6
1019,AL,Cherokee County,Urban_Influence_Code_2013,6
1019,AL,Cherokee County,POVALL_2019,4121
1019,AL,Cherokee County,CI90LBALL_2019,3190
1019,AL,Cherokee County,CI90UBALL_2019,5052
1019,AL,Cherokee County,PCTPOVALL_2019,15.9
1019,AL,Cherokee County,CI90LBALLP_2019,12.3
1019,AL,Cherokee County,CI90UBALLP_2019,19.5
1019,AL,Cherokee County,POV017_2019,1135
1019,AL,Cherokee County,CI90LB017_2019,775
1019,AL,Cherokee County,CI90UB017_2019,1495
1019,AL,Cherokee County,PCTPOV017_2019,23.3
1019,AL,Cherokee County,CI90LB017P_2019,15.9
1019,AL,Cherokee County,CI90UB017P_2019,30.7
1019,AL,Cherokee County,POV517_2019,795
1019,AL,Cherokee County,CI90LB517_2019,514
1019,AL,Cherokee County,CI90UB517_2019,1076
1019,AL,Cherokee County,PCTPOV517_2019,21.6
1019,AL,Cherokee County,CI90LB517P_2019,14
1019,AL,Cherokee County,CI90UB517P_2019,29.2
1019,AL,Cherokee County,MEDHHINC_2019,45982
1019,AL,Cherokee County,CI90LBINC_2019,40775
1019,AL,Cherokee County,CI90UBINC_2019,51189
1021,AL,Chilton County,Rural-urban_Continuum_Code_2003,1
1021,AL,Chilton County,Urban_Influence_Code_2003,1
1021,AL,Chilton County,Rural-urban_Continuum_Code_2013,1
1021,AL,Chilton County,Urban_Influence_Code_2013,1
1021,AL,Chilton County,POVALL_2019,7044
1021,AL,Chilton County,CI90LBALL_2019,5601
1021,AL,Chilton County,CI90UBALL_2019,8487
1021,AL,Chilton County,PCTPOVALL_2019,16
1021,AL,Chilton County,CI90LBALLP_2019,12.7
1021,AL,Chilton County,CI90UBALLP_2019,19.3
1021,AL,Chilton County,POV017_2019,2404
1021,AL,Chilton County,CI90LB017_2019,1777
1021,AL,Chilton County,CI90UB017_2019,3031
1021,AL,Chilton County,PCTPOV017_2019,23.1
1021,AL,Chilton County,CI90LB017P_2019,17.1
1021,AL,Chilton County,CI90UB017P_2019,29.1
1021,AL,Chilton County,POV517_2019,1643
1021,AL,Chilton County,CI90LB517_2019,1128
1021,AL,Chilton County,CI90UB517_2019,2158
1021,AL,Chilton County,PCTPOV517_2019,21.2
1021,AL,Chilton County,CI90LB517P_2019,14.5
1021,AL,Chilton County,CI90UB517P_2019,27.9
1021,AL,Chilton County,MEDHHINC_2019,49692
1021,AL,Chilton County,CI90LBINC_2019,45179
1021,AL,Chilton County,CI90UBINC_2019,54205
1023,AL,Choctaw County,Rural-urban_Continuum_Code_2003,9
1023,AL,Choctaw County,Urban_Influence_Code_2003,10
1023,AL,Choctaw County,Rural-urban_Continuum_Code_2013,9
1023,AL,Choctaw County,Urban_Influence_Code_2013,10
1023,AL,Choctaw County,POVALL_2019,2811
1023,AL,Choctaw County,CI90LBALL_2019,2171
1023,AL,Choctaw County,CI90UBALL_2019,3451
1023,AL,Choctaw County,PCTPOVALL_2019,22.6
1023,AL,Choctaw County,CI90LBALLP_2019,17.4
1023,AL,Choctaw County,CI90UBALLP_2019,27.8
1023,AL,Choctaw County,POV017_2019,745
1023,AL,Choctaw County,CI90LB017_2019,525
1023,AL,Choctaw County,CI90UB017_2019,965
1023,AL,Choctaw County,PCTPOV017_2019,30.4
