fips_txt,Stabr,area_name,Attribute,Value
0,US,United States,Civilian_labor_force_2000,142601667
0,US,United States,Employed_2000,136904680
0,US,United States,Unemployed_2000,5696987
0,US,United States,Unemployment_rate_2000,3.995035346
0,US,United States,Civilian_labor_force_2019,163100055
0,US,United States,Employed_2019,157115247
0,US,United States,Unemployed_2019,5984808
0,US,United States,Unemployment_rate_2019,3.66940894
0,US,United States,Median_Household_Income_2019,65712
1000,AL,Alabama,Civilian_labor_force_2000,2133223
1000,AL,Alabama,Employed_2000,2035594
1000,AL,Alabama,Unemployed_2000,97629
1000,AL,Alabama,Unemployment_rate_2000,4.6
1000,AL,Alabama,Civilian_labor_force_2019,2241747
1000,AL,Alabama,Employed_2019,2174483
1000,AL,Alabama,Unemployed_2019,67264
1000,AL,Alabama,Unemployment_rate_2019,3
1000,AL,Alabama,Median_Household_Income_2019,51771
1000,AL,Alabama,Med_HH_Income_Percent_of_State_Total_2019,100
1001,AL,"Autauga County, AL",Rural_urban_continuum_code_2013,2
1001,AL,"Autauga County, AL",Urban_influence_code_2013,2
1001,AL,"Autauga County, AL",Metro_2013,1
1001,AL,"Autauga County, AL",Civilian_labor_force_2000,21720
1001,AL,"Autauga County, AL",Employed_2000,20846
1001,AL,"Autauga County, AL",Unemployed_2000,874
1001,AL,"Autauga County, AL",Unemployment_rate_2000,4
1001,AL,"Autauga County, AL",Civilian_labor_force_2019,26172
1001,AL,"Autauga County, AL",Employed_2019,25458
1001,AL,"Autauga County, AL",Unemployed_2019,714
1001,AL,"Autauga County, AL",Unemployment_rate_2019,2.7
1001,AL,"Autauga County, AL",Median_Household_Income_2019,58233
1001,AL,"Autauga County, AL",Med_HH_Income_Percent_of_State_Total_2019,112.4818878
1003,AL,"Baldwin County, AL",Rural_urban_continuum_code_2013,3
1003,AL,"Baldwin County, AL",Urban_influence_code_2013,2
1003,AL,"Baldwin County, AL",Metro_2013,1
1003,AL,"Baldwin County, AL",Civilian_labor_force_2000,69533
1003,AL,"Baldwin County, AL",Employed_2000,66971
1003,AL,"Baldwin County, AL",Unemployed_2000,2562
1003,AL,"Baldwin County, AL",Unemployment_rate_2000,3.7
1003,AL,"Baldwin County, AL",Civilian_labor_force_2019,97328
1003,AL,"Baldwin County, AL",Employed_2019,94675
1003,AL,"Baldwin County, AL",Unemployed_2019,2653
1003,AL,"Baldwin County, AL",Unemployment_rate_2019,2.7
1003,AL,"Baldwin County, AL",Median_Household_Income_2019,59871
1003,AL,"Baldwin County, AL",Med_HH_Income_Percent_of_State_Total_2019,115.6458282
1005,AL,"Barbour County, AL",Rural_urban_continuum_code_2013,6
1005,AL,"Barbour County, AL",Urban_influence_code_2013,6
1005,AL,"Barbour County, AL",Metro_2013,0
1005,AL,"Barbour County, AL",Civilian_labor_force_2000,11373
1005,AL,"Barbour County, AL",Employed_2000,10748
