geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
ak,confirmed_incidence_num,2021-01-04,2021-01-05,1,259.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-04,2021-01-07,3,2160.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-04,2021-01-05,1,1306.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-04,2021-01-05,1,5158.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-04,2021-01-05,1,29633.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-04,2021-01-05,1,2185.0,,,state,usa-facts
ct,confirmed_incidence_num,2021-01-04,2021-01-05,1,4516.0,,,state,usa-facts
dc,confirmed_incidence_num,2021-01-04,2021-01-05,1,140.0,,,state,usa-facts
de,confirmed_incidence_num,2021-01-04,2021-01-05,1,849.0,,,state,usa-facts
fl,confirmed_incidence_num,2021-01-04,2021-01-07,3,11255.0,,,state,usa-facts
ga,confirmed_incidence_num,2021-01-04,2021-01-07,3,4028.0,,,state,usa-facts
hi,confirmed_incidence_num,2021-01-04,2021-01-05,1,0.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-04,2021-01-05,1,602.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-04,2021-01-05,1,798.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-04,2021-01-05,1,5061.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-04,2021-01-05,1,3617.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-04,2021-02-10,37,3976.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-04,2021-01-05,1,2319.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-04,2021-01-07,3,1134.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-04,2021-01-05,1,4358.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-04,2021-01-05,1,2483.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-04,2021-02-10,37,593.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-04,2021-01-05,1,5490.0,,,state,usa-facts
