,Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
0,10,00,000,00000,00000,00000,United States
1,40,01,000,00000,00000,00000,Alabama
2,50,01,001,00000,00000,00000,Autauga County
3,50,01,003,00000,00000,00000,Baldwin County
4,50,01,005,00000,00000,00000,Barbour County
5,50,01,007,00000,00000,00000,Bibb County
6,50,01,009,00000,00000,00000,Blount County
7,50,01,011,00000,00000,00000,Bullock County
8,50,01,013,00000,00000,00000,Butler County
9,50,01,015,00000,00000,00000,Calhoun County
10,50,01,017,00000,00000,00000,Chambers County
11,50,01,019,00000,00000,00000,Cherokee County
12,50,01,021,00000,00000,00000,Chilton County
13,50,01,023,00000,00000,00000,Choctaw County
14,50,01,025,00000,00000,00000,Clarke County
15,50,01,027,00000,00000,00000,Clay County
16,50,01,029,00000,00000,00000,Cleburne County
17,50,01,031,00000,00000,00000,Coffee County
18,50,01,033,00000,00000,00000,Colbert County
19,50,01,035,00000,00000,00000,Conecuh County
20,50,01,037,00000,00000,00000,Coosa County
21,50,01,039,00000,00000,00000,Covington County
22,50,01,041,00000,00000,00000,Crenshaw County
23,50,01,043,00000,00000,00000,Cullman County
24,50,01,045,00000,00000,00000,Dale County
25,50,01,047,00000,00000,00000,Dallas County
26,50,01,049,00000,00000,00000,DeKalb County
27,50,01,051,00000,00000,00000,Elmore County
28,50,01,053,00000,00000,00000,Escambia County
29,50,01,055,00000,00000,00000,Etowah County
30,50,01,057,00000,00000,00000,Fayette County
31,50,01,059,00000,00000,00000,Franklin County
32,50,01,061,00000,00000,00000,Geneva County
33,50,01,063,00000,00000,00000,Greene County
34,50,01,065,00000,00000,00000,Hale County
35,50,01,067,00000,00000,00000,Henry County
36,50,01,069,00000,00000,00000,Houston County
37,50,01,071,00000,00000,00000,Jackson County
38,50,01,073,00000,00000,00000,Jefferson County
39,50,01,075,00000,00000,00000,Lamar County
40,50,01,077,00000,00000,00000,Lauderdale County
41,50,01,079,00000,00000,00000,Lawrence County
42,50,01,081,00000,00000,00000,Lee County
43,50,01,083,00000,00000,00000,Limestone County
44,50,01,085,00000,00000,00000,Lowndes County
45,50,01,087,00000,00000,00000,Macon County
46,50,01,089,00000,00000,00000,Madison County
47,50,01,091,00000,00000,00000,Marengo County
48,50,01,093,00000,00000,00000,Marion County
49,50,01,095,00000,00000,00000,Marshall County
50,50,01,097,00000,00000,00000,Mobile County
51,50,01,099,00000,00000,00000,Monroe County
52,50,01,101,00000,00000,00000,Montgomery County
53,50,01,103,00000,00000,00000,Morgan County
54,50,01,105,00000,00000,00000,Perry County
55,50,01,107,00000,00000,00000,Pickens County
56,50,01,109,00000,00000,00000,Pike County
57,50,01,111,00000,00000,00000,Randolph County
58,50,01,113,00000,00000,00000,Russell County
59,50,01,115,00000,00000,00000,St. Clair County
60,50,01,117,00000,00000,00000,Shelby County
61,50,01,119,00000,00000,00000,Sumter County
62,50,01,121,00000,00000,00000,Talladega County
63,50,01,123,00000,00000,00000,Tallapoosa County
64,50,01,125,00000,00000,00000,Tuscaloosa County
65,50,01,127,00000,00000,00000,Walker County
66,50,01,129,00000,00000,00000,Washington County
67,50,01,131,00000,00000,00000,Wilcox County
68,50,01,133,00000,00000,00000,Winston County
69,162,01,000,00000,00124,00000,Abbeville city
70,162,01,000,00000,00460,00000,Adamsville city
71,162,01,000,00000,00484,00000,Addison town
72,162,01,000,00000,00676,00000,Akron town
73,162,01,000,00000,00820,00000,Alabaster city
74,162,01,000,00000,00988,00000,Albertville city
75,162,01,000,00000,01132,00000,Alexander City city
76,162,01,000,00000,01228,00000,Aliceville city
77,162,01,000,00000,01396,00000,Allgood town
78,162,01,000,00000,01660,00000,Altoona town
79,162,01,000,00000,01708,00000,Andalusia city
80,162,01,000,00000,01756,00000,Anderson town
81,162,01,000,00000,01852,00000,Anniston city
82,162,01,000,00000,02116,00000,Arab city
83,162,01,000,00000,02260,00000,Ardmore town
84,162,01,000,00000,02320,00000,Argo town
85,162,01,000,00000,02428,00000,Ariton town
86,162,01,000,00000,02500,00000,Arley town
87,162,01,000,00000,02836,00000,Ashford town
88,162,01,000,00000,02860,00000,Ashland town
89,162,01,000,00000,02908,00000,Ashville city
90,162,01,000,00000,02956,00000,Athens city
91,162,01,000,00000,03004,00000,Atmore city
92,162,01,000,00000,03028,00000,Attalla city
93,162,01,000,00000,03076,00000,Auburn city
94,162,01,000,00000,03220,00000,Autaugaville town
95,162,01,000,00000,03364,00000,Avon town
96,162,01,000,00000,03556,00000,Babbie town
97,162,01,000,00000,03676,00000,Baileyton town
98,162,01,000,00000,03724,00000,Bakerhill town
99,162,01,000,00000,03940,00000,Banks town
100,162,01,000,00000,04660,00000,Bay Minette city
101,162,01,000,00000,04684,00000,Bayou La Batre city
102,162,01,000,00000,04852,00000,Bear Creek town
103,162,01,000,00000,04900,00000,Beatrice town
104,162,01,000,00000,04948,00000,Beaverton town
105,162,01,000,00000,05164,00000,Belk town
106,162,01,000,00000,05692,00000,Benton town
107,162,01,000,00000,05932,00000,Berry town
108,162,01,000,00000,05980,00000,Bessemer city
109,162,01,000,00000,06460,00000,Billingsley town
110,162,01,000,00000,07000,00000,Birmingham city
111,162,01,000,00000,07120,00000,Black town
112,162,01,000,00000,07456,00000,Blountsville town
113,162,01,000,00000,07672,00000,Blue Springs town
114,162,01,000,00000,07912,00000,Boaz city
115,162,01,000,00000,08104,00000,Boligee town
116,162,01,000,00000,08248,00000,Bon Air town
117,162,01,000,00000,09016,00000,Brantley town
118,162,01,000,00000,09136,00000,Brent city
119,162,01,000,00000,09208,00000,Brewton city
120,162,01,000,00000,09328,00000,Bridgeport city
121,162,01,000,00000,09400,00000,Brighton city
122,162,01,000,00000,09424,00000,Brilliant town
123,162,01,000,00000,09736,00000,Brookside town
124,162,01,000,00000,09808,00000,Brookwood town
125,162,01,000,00000,10240,00000,Brundidge city
126,162,01,000,00000,11032,00000,Butler town
127,162,01,000,00000,11416,00000,Calera city
128,162,01,000,00000,11512,00000,Camden city
129,162,01,000,00000,11680,00000,Camp Hill town
130,162,01,000,00000,12016,00000,Carbon Hill city
131,162,01,000,00000,12040,00000,Cardiff town
132,162,01,000,00000,12160,00000,Carolina town
133,162,01,000,00000,12304,00000,Carrollton town
134,162,01,000,00000,12496,00000,Castleberry town
135,162,01,000,00000,12760,00000,Cedar Bluff town
136,162,01,000,00000,13264,00000,Center Point city
137,162,01,000,00000,13648,00000,Centre city
138,162,01,000,00000,13672,00000,Centreville city
139,162,01,000,00000,14008,00000,Chatom town
140,162,01,000,00000,14104,00000,Chelsea city
141,162,01,000,00000,14152,00000,Cherokee town
142,162,01,000,00000,14392,00000,Chickasaw city
143,162,01,000,00000,14464,00000,Childersburg city
144,162,01,000,00000,15064,00000,Citronelle city
145,162,01,000,00000,15136,00000,Clanton city
146,162,01,000,00000,15256,00000,Clay city
147,162,01,000,00000,15304,00000,Clayhatchee town
148,162,01,000,00000,15376,00000,Clayton town
149,162,01,000,00000,15472,00000,Cleveland town
150,162,01,000,00000,15640,00000,Clio city
151,162,01,000,00000,16000,00000,Coaling town
152,162,01,000,00000,16240,00000,Coffee Springs town
153,162,01,000,00000,16264,00000,Coffeeville town
154,162,01,000,00000,16312,00000,Coker town
155,162,01,000,00000,16600,00000,Collinsville town
156,162,01,000,00000,16684,00000,Colony town
157,162,01,000,00000,16744,00000,Columbia town
158,162,01,000,00000,16768,00000,Columbiana city
159,162,01,000,00000,17176,00000,Coosada town
160,162,01,000,00000,17368,00000,Cordova city
161,162,01,000,00000,17824,00000,Cottonwood town
162,162,01,000,00000,17968,00000,County Line town
163,162,01,000,00000,18040,00000,Courtland town
164,162,01,000,00000,18088,00000,Cowarts town
165,162,01,000,00000,18304,00000,Creola city
166,162,01,000,00000,18856,00000,Crossville town
167,162,01,000,00000,18952,00000,Cuba town
168,162,01,000,00000,18976,00000,Cullman city
169,162,01,000,00000,19216,00000,Cusseta town
170,162,01,000,00000,19336,00000,Dadeville city
171,162,01,000,00000,19360,00000,Daleville city
172,162,01,000,00000,19648,00000,Daphne city
173,162,01,000,00000,19744,00000,Dauphin Island town
174,162,01,000,00000,19816,00000,Daviston town
175,162,01,000,00000,19912,00000,Dayton town
176,162,01,000,00000,20008,00000,Deatsville town
177,162,01,000,00000,20104,00000,Decatur city
178,162,01,000,00000,20296,00000,Demopolis city
179,162,01,000,00000,20392,00000,Detroit town
