geo_level,state_code_fips,county_code_fips,area_name,fips_code
Country,00,000,United States,00000
State,01,000,Alabama,01000
County,01,001,Autauga County,01001
County,01,003,Baldwin County,01003
County,01,005,Barbour County,01005
County,01,007,Bibb County,01007
County,01,009,Blount County,01009
County,01,011,Bullock County,01011
County,01,013,Butler County,01013
County,01,015,Calhoun County,01015
County,01,017,Chambers County,01017
County,01,019,Cherokee County,01019
County,01,021,Chilton County,01021
County,01,023,Choctaw County,01023
County,01,025,Clarke County,01025
County,01,027,Clay County,01027
County,01,029,Cleburne County,01029
County,01,031,Coffee County,01031
County,01,033,Colbert County,01033
County,01,035,Conecuh County,01035
County,01,037,Coosa County,01037
County,01,039,Covington County,01039
County,01,041,Crenshaw County,01041
County,01,043,Cullman County,01043
County,01,045,Dale County,01045
County,01,047,Dallas County,01047
County,01,049,DeKalb County,01049
County,01,049,Dekalb County,01049
County,01,051,Elmore County,01051
County,01,053,Escambia County,01053
County,01,055,Etowah County,01055
County,01,057,Fayette County,01057
County,01,059,Franklin County,01059
County,01,061,Geneva County,01061
County,01,063,Greene County,01063
County,01,065,Hale County,01065
County,01,067,Henry County,01067
County,01,069,Houston County,01069
County,01,071,Jackson County,01071
County,01,073,Jefferson County,01073
County,01,075,Lamar County,01075
County,01,077,Lauderdale County,01077
County,01,079,Lawrence County,01079
County,01,081,Lee County,01081
County,01,083,Limestone County,01083
County,01,085,Lowndes County,01085
County,01,087,Macon County,01087
County,01,089,Madison County,01089
County,01,091,Marengo County,01091
County,01,093,Marion County,01093
County,01,095,Marshall County,01095
County,01,097,Mobile County,01097
County,01,099,Monroe County,01099
County,01,101,Montgomery County,01101
County,01,103,Morgan County,01103
County,01,105,Perry County,01105
County,01,107,Pickens County,01107
County,01,109,Pike County,01109
County,01,111,Randolph County,01111
County,01,113,Russell County,01113
County,01,115,St. Clair County,01115
County,01,115,St Clair County,01115
County,01,117,Shelby County,01117
County,01,119,Sumter County,01119
County,01,121,Talladega County,01121
County,01,123,Tallapoosa County,01123
County,01,125,Tuscaloosa County,01125
County,01,127,Walker County,01127
County,01,129,Washington County,01129
County,01,131,Wilcox County,01131
County,01,133,Winston County,01133
State,02,000,Alaska,02000
County,02,013,Aleutians East Borough,02013
County,02,016,Aleutians West Census Area,02016
County,02,020,Anchorage Municipality,02020
County,02,020,Anchorage Borough,02020
County,02,050,Bethel Census Area,02050
