,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,67.6290816,1.5434284,919.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,61.1952409,0.6919173,4960.1433,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,65.6376178,0.7979682,3542.1335,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,71.7103265,0.5486844,6738.5181,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,76.7443957,0.2428249,30268.2972,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,77.1257453,0.5400581,6048.7467,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,78.8925179,0.5858356,4852.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,86.8393743,1.5762231,460.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,72.0165106,1.1598747,1498.0,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,68.1453367,0.325051,20545.002,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,61.9497748,0.5531503,7703.9016,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,74.2721997,1.2862443,1155.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,70.8473366,0.6871557,4374.1275,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,66.2896523,0.9863912,2296.7333,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,72.1194185,0.3852895,13545.0207,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,65.7173111,0.5488891,7478.0005,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,69.3006893,0.7718707,3570.8953,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,66.6211645,0.6702891,4949.4742,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,60.2936,0.6990566,4898.9958,state,fb-survey
19,ma,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,81.560771,0.4873116,6333.0155,state,fb-survey
20,md,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,77.8745635,0.5748551,5213.9964,state,fb-survey
21,me,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,76.4850396,0.8746495,2351.0,state,fb-survey
22,mi,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,70.1247528,0.4006991,13048.0623,state,fb-survey
23,mn,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,77.7107945,0.5792263,5162.7301,state,fb-survey
24,mo,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,67.2654779,0.6038818,6038.0182,state,fb-survey
25,ms,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,58.9599015,0.8652076,3232.3952,state,fb-survey
26,mt,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,66.8384512,1.1835652,1582.2562,state,fb-survey
27,nc,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,67.7355988,0.4261171,12036.012,state,fb-survey
28,nd,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,65.9541213,1.6214599,854.0712,state,fb-survey
29,ne,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,72.1438187,0.9480482,2235.9385,state,fb-survey
30,nh,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,79.3386734,0.8691439,2170.0,state,fb-survey
31,nj,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,74.8802523,0.5062937,7337.9972,state,fb-survey
32,nm,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,75.542596,0.8607932,2493.4725,state,fb-survey
33,nv,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,70.6514789,0.9166579,2467.7033,state,fb-survey
34,ny,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,74.0945711,0.3423508,16377.0029,state,fb-survey
35,oh,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,66.9478624,0.404527,13522.0073,state,fb-survey
36,ok,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,65.4190728,0.6672203,5081.6243,state,fb-survey
37,or,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,73.9467839,0.6188907,5029.8229,state,fb-survey
38,pa,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,70.744382,0.3722987,14932.009,state,fb-survey
39,ri,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,79.4884703,1.0937187,1362.9845,state,fb-survey
40,sc,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,63.2047341,0.5771393,6982.0059,state,fb-survey
41,sd,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,69.6452039,1.3364548,1183.6137,state,fb-survey
42,tn,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,65.0518499,0.5431057,7707.5287,state,fb-survey
43,tx,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,69.5296452,0.2999004,23555.5638,state,fb-survey
44,ut,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,73.9651746,0.7670107,3273.2492,state,fb-survey
45,va,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,72.2061261,0.4657338,9252.2547,state,fb-survey
46,vt,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,81.5609195,1.1624191,1113.0019,state,fb-survey
47,wa,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,77.6892538,0.4538833,8413.6932,state,fb-survey
48,wi,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,73.7630182,0.553288,6321.9356,state,fb-survey
49,wv,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,66.6432025,0.8606411,3001.2076,state,fb-survey
50,wy,smoothed_wcovid_vaccinated_or_accept,2021-01-04,2021-01-06,2,56.420134,1.7414569,810.7642,state,fb-survey
0,ak,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,66.3956907,1.5422899,938.0,state,fb-survey
1,al,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,60.7730487,0.6890443,5021.1277,state,fb-survey
2,ar,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,65.3725259,0.7999211,3537.706,state,fb-survey
3,az,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,71.8193851,0.5450692,6812.2241,state,fb-survey
4,ca,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,76.879095,0.24105,30591.3695,state,fb-survey
5,co,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,77.4526692,0.5359027,6080.7843,state,fb-survey
6,ct,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,79.1175669,0.5840766,4843.0,state,fb-survey
7,dc,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,87.4355283,1.5487572,458.0,state,fb-survey
8,de,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,73.3714531,1.1344919,1518.0,state,fb-survey
9,fl,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,68.3065183,0.3235104,20685.0017,state,fb-survey
10,ga,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,62.1355033,0.5563567,7600.9054,state,fb-survey
11,hi,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,75.5923387,1.2563039,1169.0,state,fb-survey
12,ia,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,71.1976861,0.6868198,4347.1806,state,fb-survey
13,id,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,66.6638714,0.9812839,2307.8965,state,fb-survey
14,il,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,72.4952471,0.3826359,13619.0214,state,fb-survey
15,in,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,65.6309243,0.5507307,7437.0012,state,fb-survey
16,ks,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,70.094561,0.7677873,3555.9252,state,fb-survey
17,ky,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,66.7109989,0.6700823,4945.8612,state,fb-survey
18,la,smoothed_wcovid_vaccinated_or_accept,2021-01-05,2021-01-07,2,60.1803068,0.6932408,4986.3657,state,fb-survey
