FIPS,State,County,variable,value
01000,Alabama,Alabama,TotalPop2010,4779736.0
02000,Alaska,Alaska,TotalPop2010,710231.0
04000,Arizona,Arizona,TotalPop2010,6392017.0
05000,Arkansas,Arkansas,TotalPop2010,2915918.0
06000,California,California,TotalPop2010,37253956.0
08000,Colorado,Colorado,TotalPop2010,5029196.0
09000,Connecticut,Connecticut,TotalPop2010,3574097.0
10000,Delaware,Delaware,TotalPop2010,897934.0
11000,District of Columbia,District of Columbia,TotalPop2010,601723.0
12000,Florida,Florida,TotalPop2010,18801310.0
13000,Georgia,Georgia,TotalPop2010,9687653.0
15000,Hawaii,Hawaii,TotalPop2010,1360301.0
16000,Idaho,Idaho,TotalPop2010,1567582.0
17000,Illinois,Illinois,TotalPop2010,12830632.0
18000,Indiana,Indiana,TotalPop2010,6483802.0
19000,Iowa,Iowa,TotalPop2010,3046355.0
20000,Kansas,Kansas,TotalPop2010,2853118.0
21000,Kentucky,Kentucky,TotalPop2010,4339367.0
22000,Louisiana,Louisiana,TotalPop2010,4533372.0
23000,Maine,Maine,TotalPop2010,1328361.0
24000,Maryland,Maryland,TotalPop2010,5773552.0
25000,Massachusetts,Massachusetts,TotalPop2010,6547629.0
26000,Michigan,Michigan,TotalPop2010,9883640.0
27000,Minnesota,Minnesota,TotalPop2010,5303925.0
28000,Mississippi,Mississippi,TotalPop2010,2967297.0
29000,Missouri,Missouri,TotalPop2010,5988927.0
30000,Montana,Montana,TotalPop2010,989415.0
31000,Nebraska,Nebraska,TotalPop2010,1826341.0
32000,Nevada,Nevada,TotalPop2010,2700551.0
33000,New Hampshire,New Hampshire,TotalPop2010,1316470.0
34000,New Jersey,New Jersey,TotalPop2010,8791894.0
35000,New Mexico,New Mexico,TotalPop2010,2059179.0
36000,New York,New York,TotalPop2010,19378102.0
37000,North Carolina,North Carolina,TotalPop2010,9535483.0
38000,North Dakota,North Dakota,TotalPop2010,672591.0
39000,Ohio,Ohio,TotalPop2010,11536504.0
40000,Oklahoma,Oklahoma,TotalPop2010,3751351.0
41000,Oregon,Oregon,TotalPop2010,3831074.0
42000,Pennsylvania,Pennsylvania,TotalPop2010,12702379.0
44000,Rhode Island,Rhode Island,TotalPop2010,1052567.0
45000,South Carolina,South Carolina,TotalPop2010,4625364.0
46000,South Dakota,South Dakota,TotalPop2010,814180.0
47000,Tennessee,Tennessee,TotalPop2010,6346105.0
48000,Texas,Texas,TotalPop2010,25145561.0
49000,Utah,Utah,TotalPop2010,2763885.0
50000,Vermont,Vermont,TotalPop2010,625741.0
51000,Virginia,Virginia,TotalPop2010,8001024.0
53000,Washington,Washington,TotalPop2010,6724540.0
54000,West Virginia,West Virginia,TotalPop2010,1852994.0
55000,Wisconsin,Wisconsin,TotalPop2010,5686986.0
56000,Wyoming,Wyoming,TotalPop2010,563626.0
01000,Alabama,Alabama,WhiteNonHispanicPct2010,67.04
02000,Alaska,Alaska,WhiteNonHispanicPct2010,64.11
04000,Arizona,Arizona,WhiteNonHispanicPct2010,57.82
05000,Arkansas,Arkansas,WhiteNonHispanicPct2010,74.54
06000,California,California,WhiteNonHispanicPct2010,40.15
08000,Colorado,Colorado,WhiteNonHispanicPct2010,70.01
09000,Connecticut,Connecticut,WhiteNonHispanicPct2010,71.24
10000,Delaware,Delaware,WhiteNonHispanicPct2010,65.34
11000,District of Columbia,District of Columbia,WhiteNonHispanicPct2010,34.81
12000,Florida,Florida,WhiteNonHispanicPct2010,57.89
13000,Georgia,Georgia,WhiteNonHispanicPct2010,55.88
15000,Hawaii,Hawaii,WhiteNonHispanicPct2010,22.74
16000,Idaho,Idaho,WhiteNonHispanicPct2010,83.97
17000,Illinois,Illinois,WhiteNonHispanicPct2010,63.66
18000,Indiana,Indiana,WhiteNonHispanicPct2010,81.53
19000,Iowa,Iowa,WhiteNonHispanicPct2010,88.67
20000,Kansas,Kansas,WhiteNonHispanicPct2010,78.18
21000,Kentucky,Kentucky,WhiteNonHispanicPct2010,86.32
22000,Louisiana,Louisiana,WhiteNonHispanicPct2010,60.33
23000,Maine,Maine,WhiteNonHispanicPct2010,94.42
24000,Maryland,Maryland,WhiteNonHispanicPct2010,54.7
25000,Massachusetts,Massachusetts,WhiteNonHispanicPct2010,76.13
26000,Michigan,Michigan,WhiteNonHispanicPct2010,76.59
27000,Minnesota,Minnesota,WhiteNonHispanicPct2010,83.05
28000,Mississippi,Mississippi,WhiteNonHispanicPct2010,58.04
29000,Missouri,Missouri,WhiteNonHispanicPct2010,81.0
30000,Montana,Montana,WhiteNonHispanicPct2010,87.79
31000,Nebraska,Nebraska,WhiteNonHispanicPct2010,82.12
32000,Nevada,Nevada,WhiteNonHispanicPct2010,54.14
33000,New Hampshire,New Hampshire,WhiteNonHispanicPct2010,92.3
34000,New Jersey,New Jersey,WhiteNonHispanicPct2010,59.31
35000,New Mexico,New Mexico,WhiteNonHispanicPct2010,40.49
36000,New York,New York,WhiteNonHispanicPct2010,58.34
37000,North Carolina,North Carolina,WhiteNonHispanicPct2010,65.27
38000,North Dakota,North Dakota,WhiteNonHispanicPct2010,88.91
39000,Ohio,Ohio,WhiteNonHispanicPct2010,81.13
40000,Oklahoma,Oklahoma,WhiteNonHispanicPct2010,68.65
41000,Oregon,Oregon,WhiteNonHispanicPct2010,78.46
42000,Pennsylvania,Pennsylvania,WhiteNonHispanicPct2010,79.47
44000,Rhode Island,Rhode Island,WhiteNonHispanicPct2010,76.35
45000,South Carolina,South Carolina,WhiteNonHispanicPct2010,64.05
46000,South Dakota,South Dakota,WhiteNonHispanicPct2010,84.69
47000,Tennessee,Tennessee,WhiteNonHispanicPct2010,75.65
48000,Texas,Texas,WhiteNonHispanicPct2010,45.33
49000,Utah,Utah,WhiteNonHispanicPct2010,80.38
50000,Vermont,Vermont,WhiteNonHispanicPct2010,94.32
51000,Virginia,Virginia,WhiteNonHispanicPct2010,64.82
53000,Washington,Washington,WhiteNonHispanicPct2010,72.52
54000,West Virginia,West Virginia,WhiteNonHispanicPct2010,93.16
55000,Wisconsin,Wisconsin,WhiteNonHispanicPct2010,83.32
56000,Wyoming,Wyoming,WhiteNonHispanicPct2010,85.85
01000,Alabama,Alabama,BlackNonHispanicPct2010,26.04
02000,Alaska,Alaska,BlackNonHispanicPct2010,3.09
04000,Arizona,Arizona,BlackNonHispanicPct2010,3.74
05000,Arkansas,Arkansas,BlackNonHispanicPct2010,15.33
06000,California,California,BlackNonHispanicPct2010,5.81
08000,Colorado,Colorado,BlackNonHispanicPct2010,3.75
09000,Connecticut,Connecticut,BlackNonHispanicPct2010,9.38
10000,Delaware,Delaware,BlackNonHispanicPct2010,20.8
11000,District of Columbia,District of Columbia,BlackNonHispanicPct2010,50.03
12000,Florida,Florida,BlackNonHispanicPct2010,15.16
13000,Georgia,Georgia,BlackNonHispanicPct2010,30.05
